200
Lyubov Terentyeva;25;9;1963;9853645618;20298564;15;10;2028;C147EC;Q753;62;90 91 92 93
Vladislav Kulikov;20;7;1926;9037568351;2242887;9;8;2028;B843MH;E837;11;94 95 96 97
Roman Stolyarov;23;11;1927;9039501955;43797976;4;6;2012;E638OM;M188;88;98 99 100 101 102
Dmitry BurovMaxim Popov;8;9;1912;9163642114;81951995;3;5;2048;X401EA;F476;72;103 104 105
Mikhail Orlov;19;3;1954;4956003023;74723621;3;8;2043;A444EK;O236;24;106 107 108
Yana Antonova;27;8;1995;9269031355;97369614;6;11;2027;O247BX;H954;23;109 110 111
Fedor Bazhenov;23;3;2003;9168914356;76925315;14;7;2009;P971YT;O396;46;112 113
Stefania Danilova;10;11;1981;9161770208;63029076;11;9;2026;A039YY;C771;64;114 115
Mikhail Smirnov;23;8;1956;4954371711;7631384;7;6;2014;M372MC;G787;55;116 117
Kirill Rumyantsev;16;7;1914;4957576855;64436414;17;4;2006;B733MH;S821;73;118 119 120 121
Nikita Shmelev;27;1;1921;9167900404;54635721;4;7;2001;X635MT;G486;39;122 123 124 125
Luka Vasiliev;13;11;1967;9038459001;40462757;13;10;2024;K114PO;Y29;80;126 127
Adelina Yakovleva;16;4;1906;9033764999;62961384;20;2;2038;T290CB;D34;97;128
Peter Sorokin;3;2;1949;4954308244;9243135;4;6;2021;Y795KT;A330;6;129 130 131 132 133
Robert Andrianov;12;1;1928;9851133201;7299051;21;1;2035;P639PP;T465;25;134 135 136
Miron Smirnov;28;10;1911;9256267135;72668013;4;3;2000;Y946OA;X822;58;137 138 139 140 141
Maria Gerasimova;8;9;1958;4958365130;4564245;18;7;2040;T013XT;O712;61;142 143 144 145 146
Sofia Orlova;11;10;1943;9261893612;86233894;25;9;2037;E216XA;C149;72;147
Alexander Vasiliev;2;8;1912;9267401327;92112994;13;1;2049;Y831KE;I257;25;148 149 150 151
Konstantin Kuznetsov;12;8;1991;9269683199;5492142;21;5;2047;K590PP;M150;46;152 153 154 155
Mark Kuznetsov;2;2;1923;4953225100;60123465;7;7;2005;M704AH;C586;12;156 157
Elizaveta Nazarova;16;9;1943;4959178994;23302512;20;5;2008;B930KK;S232;13;158
Sofia Chebotareva;9;10;1952;9036346960;56810310;1;11;2016;E681PM;X398;61;159 160 161 162 163
Eva Novikova;25;1;1973;9255142675;20956174;28;11;2014;O441EE;D568;54;164 165 166
Miroslava Semenova;5;7;1973;9269540138;41669903;6;4;2018;O789AB;N166;42;167 168 169 170 171
Nikolai Ivanov;4;5;1992;9255600783;97274614;17;6;2011;B620KP;R637;83;172 173 174 175
Ksenia Solovieva;7;2;1986;9268733440;12654392;1;3;2002;E320XA;V336;36;176 177 178 179 180
Fyodor Abramov;10;9;1946;9036624490;39088076;8;10;2008;T825XP;F310;11;181 182 183 184
Sofia Dmitrieva;4;10;1955;9255257086;56952406;25;7;2001;Y323PP;O564;16;185 186
Ekaterina Ivanova;6;3;1950;9167344052;57053604;5;2;2034;Y952EP;K77;79;187
Maxim Zhukov;17;8;1975;9253988316;16090753;4;3;2008;E420TX;H357;1;188
Matvey Ivanov;5;2;1919;9169705446;83164595;23;4;2026;C675CE;T838;26;189 190 191 192 193
Eileen Suslova;2;2;1933;9854597320;8451174;21;10;2011;K482AK;V109;53;194
Kira Matveeva;1;3;1903;9267396326;2002284;9;9;2046;E179MM;K641;74;195 196 197 198
Miron Dementiev;15;2;1933;4956225912;1387356;13;6;2022;E921TE;P416;82;199 200 201 202 203
Nikita Golovin;1;6;1922;9266993037;98225666;25;1;2026;A295TA;G829;21;204 205 206 207 208
Kira Ermakova;24;3;1952;9856428580;25713709;12;5;2021;O613CE;P63;25;209 210
Vladimir Ponomarev;25;10;1988;9038765513;9437403;10;5;2015;E801HT;Y755;60;211
Emin Panov;5;2;1976;9162330331;33137151;7;7;2035;T394MM;C793;23;212 213
Elizaveta Bogdanova;10;3;2003;9265170094;24390264;14;2;2044;M840CB;Y278;39;214 215 216
Alexey Medvedev;19;7;1906;9256117816;12866874;8;5;2004;X662CP;E856;21;217 218 219 220 221
Maxim Smirnov;26;10;1922;9852794074;73407747;20;2;2010;X779HM;Y315;89;222 223 224 225
Arina Makarova;1;1;1907;9263925319;95977331;11;1;2019;O083PK;M718;12;226 227 228 229 230
Eva Evseeva;3;8;1941;9267529429;3885870;26;10;2000;X199YY;C355;73;231 232 233
Leonid Sviridov;10;10;1912;9034898750;25978564;15;2;2035;H768TO;X518;97;234 235 236 237
Ivan Agapov;9;3;1924;9265926950;60783216;3;10;2016;O519AP;V412;100;238 239 240 241 242
Ivan Danilov;22;4;1912;9255408966;11283372;4;2;2000;H678AK;R996;93;243 244
Daniil Ivanov;12;1;1961;9167961108;89159681;21;2;2025;T289HP;K983;57;245 246
Maryam Vasilieva;19;6;1960;9164746742;44585145;23;5;2044;M823XY;O565;84;247 248
Vladimir Karpov;3;9;1969;9032625999;33093937;25;4;2029;B891AK;A97;59;249 250 251
Dmitry Nazarov;13;1;1985;9031237310;58764003;12;8;2002;O674OX;G582;46;252
Egor Makarov;20;2;1932;9856690006;77701767;24;2;2021;T380HK;C850;81;253 254 255 256
Ruslan Maksimov;18;11;1919;9852945937;29612033;23;1;2043;B525MH;N571;12;257 258 259 260
Ilya Mikheev;13;8;1937;9262128921;36043431;23;11;2042;B596HC;G574;73;261 262 263
Pavel Moiseev;23;8;1983;4953855547;20555531;7;6;2020;O478CP;E956;27;264 265 266 267 268
Anastasia Zubkova;21;9;1910;9265073496;1398107;17;8;2014;H697PO;E917;4;269 270 271 272 273
Veronika Zaitseva;14;4;1990;9164336229;20107558;1;7;2020;A566MA;J887;62;274 275
Elizaveta Nefedova;16;6;1945;4954995222;8491159;8;11;2029;O687YY;N500;96;276 277 278 279 280
Emin Muratov;1;1;1999;9257169589;25264490;17;3;2021;B211EM;F664;38;281 282
Valeria Cherkasova;12;4;1927;9037672068;23028102;2;2;2024;B576PK;S57;27;283 284 285 286 287
Victoria Kuzmina;10;8;1931;9851252149;43823450;5;4;2007;P138EY;V946;32;288
Elizaveta Kuznetsova;7;5;1922;9269993107;87343062;28;4;2033;M111AE;Y224;20;289
Olivia Nikiforova;4;10;1990;4957779441;3279773;26;4;2004;K783XH;K456;43;290 291 292 293 294
Yana Zolotareva;1;2;1965;4952028238;5980769;28;7;2009;A278MX;S561;69;295 296
Georgy Bobrov;22;3;1959;9853056632;58896648;4;6;2033;M059PC;F55;40;297 298
Eva Chernova;27;7;1919;9264793885;91633994;6;7;2024;B699MC;M603;93;299 300 301 302 303
Vasilisa Solovieva;3;6;1963;9161821210;15465652;2;1;2004;X032HP;H832;59;304
Sofia Zhukova;20;5;1939;9265596649;53408665;8;8;2035;Y789AA;R908;98;305 306 307 308
Alexey Kasyanov;25;4;1992;9031148141;28086429;1;11;2021;H089HY;K864;2;309 310 311 312 313
Polina Lebedeva;3;11;1905;9268082837;73915004;28;7;2027;A367YC;M384;96;314
Daria Filippova;26;1;1978;9169029615;82632150;2;1;2046;H753EC;P221;69;315
Yana Martynova;21;7;1915;9856197517;37712232;21;5;2016;P829CA;W295;13;316
Ivan Romanov;16;11;1996;9857780783;37819280;17;9;2012;A509BA;M478;50;317 318 319 320 321
Maria Chistyakova;22;4;1994;9264115225;69437641;25;4;2022;Y527PA;E395;15;322 323
Yuri Belyaev;4;1;1995;9037324959;53713994;18;7;2010;A735MC;B672;97;324 325
Yana Morozova;27;11;1971;9161227792;77185020;2;10;2043;T186AT;P576;48;326 327 328 329
Alina Grigorieva;7;8;1966;9162882525;19796245;16;3;2035;B200OY;I624;37;330 331 332 333
Ilya Medvedev;26;3;1906;9858779872;82202545;18;4;2023;X723YE;T258;72;334 335 336 337
Daniil Gromov;27;9;1965;9858149395;52957115;15;4;2049;C868XB;V593;23;338 339
Varvara Chumakova;28;7;1942;9252531899;88297905;5;2;2006;Y408CE;N485;82;340 341 342
Konstantin Markov;3;2;1935;4955793302;90181794;22;2;2005;E836MB;J982;54;343 344 345 346
Nikita Artamonov;16;9;1925;9854507551;13078528;12;3;2009;P972PT;J835;53;347 348 349 350 351
Daniil Fadeev;13;4;1931;9261284645;28747396;2;1;2033;A876PO;W800;31;352 353 354 355
Valeria Konstantinova;25;7;1924;9853050051;40612851;23;1;2010;C600AC;G528;71;356 357
Maria Kozlova;4;11;1904;9252891881;78812492;22;2;2009;K661KH;S440;11;358
Elena Dobrynina;27;9;1935;9257797487;52087755;3;1;2006;A543CT;I216;22;359 360
Alexander Fomin;9;3;1975;9852772308;85537733;19;3;2036;A276HM;W368;68;361 362
Maxim Stepanov;19;10;1951;9034074364;43757515;13;2;2021;O220KP;T236;81;363
Diana Mikhailova;13;4;1941;9163399021;34461065;8;7;2037;H460HX;G259;49;364
Anfisa Mikhailova;21;11;1903;9036853277;79700338;2;4;2050;H487PH;P633;66;365
Ilya Chernov;24;1;1943;9166298111;96781303;2;1;2033;P609MC;U224;56;366 367 368 369 370
Dmitry Pavlov;12;10;1968;4958426734;69061502;16;11;2023;K131MX;Y323;74;371
Ekaterina Alekseeva;11;9;1998;9263988605;44726257;5;2;2016;K696EP;U211;73;372
Daniel Mikhailov;27;5;1987;9252983759;37453362;23;8;2030;Y717YC;Y833;29;373
Malika Kosareva;20;6;1923;9258284761;69338172;2;5;2022;X784HT;T161;2;374 375
Sofia Salnikova;25;9;1931;9033810400;56233888;5;6;2034;K831PO;O255;69;376
Dmitry Kalugin;7;8;1971;9265212602;3184473;21;4;2030;Y513EA;L239;53;377 378 379 380
Taisia Nikitina;7;5;1916;9252217609;92407845;5;1;2025;K853ET;S329;24;381 382 383 384 385
Elizaveta Yashina;27;10;1948;9165988763;42720482;7;7;2029;O701OA;A668;82;386 387
Alena Morozova;10;8;1973;9265242628;67045916;4;10;2023;K788XA;Z759;61;388
Sofia Smirnova;6;4;1953;9164020065;4857247;1;2;2010;P096AX;J86;47;389 390
Mikhail Sofronov;12;7;1946;9254140456;744990;20;9;2027;H160YX;J534;33;391 392 393
Elizaveta Ponomareva;21;10;1976;9253774154;27041575;14;11;2046;C844PE;C470;52;394 395 396 397 398
Ilya Alekseev;24;5;1959;9165538723;43751248;28;3;2042;T424BC;H11;11;399 400 401 402 403
Timofey Orlov;23;5;1928;9251505995;25094846;2;10;2004;M349EE;Y265;37;404 405 406 407 408
Vera Makarova;21;1;1962;9251014057;77746239;20;8;2039;O572MP;J937;50;409 410 411 412
Timofey Ivanov;12;1;1916;4955201396;16819323;25;8;2019;E353MC;X124;94;413 414 415
Vera Alekseeva;5;5;1974;4956093655;23343283;22;8;2005;O311XP;U67;36;416
Nikita Chumakov;12;8;1915;9854203451;20665532;10;2;2046;Y512YM;I100;45;417 418 419 420
Daria Kosheleva;10;3;1967;9859844996;22518005;12;2;2007;E353TM;V380;3;421 422 423 424
Dmitry Khokhlov;18;3;1988;4958749109;6493987;6;9;2030;A379OB;F212;61;425 426
Victoria Zhukova;7;8;1974;9262358027;9566729;17;11;2010;O787OB;Z410;10;427 428 429
Alexander Kostin;9;6;1956;9161522816;70088500;24;8;2042;E978EX;N999;81;430 431 432
Svetlana Solovyeva;27;5;1947;9858481110;20438123;28;7;2039;H371HY;H464;19;433 434
Alexander Kovalev;2;4;1926;9857242595;32933793;20;1;2049;M844YO;Q107;67;435 436
Tatyana Sedova;12;3;1948;4955757913;82239460;16;9;2002;X015YB;V765;29;437 438 439 440 441
Ruslan Andrianov;6;1;1929;9032819148;76519653;7;2;2030;E819BA;O48;15;442 443
Eva Prokhorova;15;10;1913;9857606737;66379563;20;7;2031;C306TT;D960;59;444 445 446 447 448
Matvey Kochetkov;16;4;1932;4959773848;61313072;1;9;2038;O294YM;N716;42;449 450 451 452
Georgy Smirnov;21;6;1936;9161368164;45908912;14;6;2041;M866EH;V319;25;453 454
Maria Kondrashova;26;9;1972;9259271017;20678096;6;9;2043;X869TB;Z90;30;455 456 457
Sofia Gerasimova;20;11;1980;9169159903;3777840;17;10;2047;B332EM;O197;90;458 459 460 461 462
Nikolai Konovalov;13;10;1989;9253926622;540628;10;6;2004;M266HH;G499;87;463 464
Yaroslav Rumyantsev;28;8;1906;4957843793;39464862;13;10;2016;P118XY;F412;5;465 466
Georgy Ivanov;15;5;1905;4951183958;1918249;11;8;2010;H170EH;W31;14;467
Alena Semenova;22;9;1912;9035954289;395569;26;10;2000;C330CB;M826;24;468
Alina Demidova;25;10;1999;9035638238;67986668;13;10;2022;B532BP;N616;85;469 470 471 472
Maya Blinova;16;3;1933;9263833566;24878896;26;5;2040;X671CK;H315;93;473
Timofey Sokolov;20;2;1914;9269930758;15078763;17;4;2028;O205PX;T837;64;474 475 476
Miron Litvinov;6;6;1997;9262765315;45792195;1;2;2000;Y472XY;R812;52;477
Anastasia Korovina;22;7;2000;9856649009;89187543;7;10;2018;Y107HP;O404;98;478
Alexander Moiseev;26;4;1920;4955201435;66059671;18;3;2009;Y780PA;N947;55;479 480 481 482
Eva Gerasimova;18;7;1972;9033543536;13736709;6;1;2014;T619XT;Y328;2;483 484 485
Maxim Suvorov;14;7;1973;9851097370;90144115;8;6;2011;T222BT;R517;22;486 487 488 489
Vladislav Rybakov;1;9;1961;9269055491;45979895;3;3;2040;T310MP;C221;63;490 491 492 493
Leonid Efremov;8;1;1912;9851402031;52822419;23;7;2040;Y432OX;P737;31;494 495
Alisa Ivanova;7;4;1912;9252228279;22637634;5;6;2043;T497EM;S377;49;496 497 498 499 500
Daria Pozdnyakova;17;10;1978;9265974401;92009598;12;9;2002;E439MY;V93;29;501 502 503
Polina Eliseeva;12;6;1919;4953064768;12108968;23;1;2021;C923XA;T392;51;504
Kira Lapteva;2;3;1993;9164035344;80294127;3;4;2032;H367TK;V86;44;505 506
Dmitry Ulyanov;25;10;1945;9252256829;64888119;10;6;2036;K412AT;J303;51;507 508
Lada Fetisova;8;3;1925;9268239299;9292820;5;3;2012;M481PM;M624;2;509 510 511 512 513
Maria Ermakova;13;10;1986;9268646769;62820443;6;7;2031;K611AT;M870;49;514 515 516
Artyom Bespalov;27;11;1901;4952353586;79819681;20;9;2045;O667BT;Q349;40;517
Miroslava Nechaeva;4;5;1935;9037042537;68268585;14;8;2006;Y239KP;J820;20;518
Milana Kozlova;1;10;1999;9855279869;48909886;27;2;2021;A572BC;X530;19;519 520 521 522
Alexey Semenov;20;3;1985;4953503049;16649974;20;2;2020;A858OH;I251;0;523 524
Ekaterina Popova;13;2;1969;9254008902;54305091;14;2;2018;H507CH;L212;42;525 526 527 528
Artyom Sorokin;15;1;1938;9858332852;5972672;15;6;2015;T259BA;S803;79;529 530 531 532 533
Alexey Dolgov;16;2;1921;9033713182;18666127;16;5;2046;B662XB;H927;77;534 535 536 537
Mikhail Panov;10;9;1919;9259060762;11848905;24;2;2001;E988PB;W227;26;538 539 540
Miya Yakovleva;3;6;1916;9256478525;4230651;13;6;2019;T278MT;H453;11;541
Kira Polyakova;7;4;1964;9039082836;75471669;21;5;2045;K775MA;C102;27;542 543 544 545 546
Artem Zaitsev;21;1;1980;9859025286;80333124;11;7;2019;C570EA;F580;49;547 548
Georgy Boldyrev;16;11;1950;9265304500;71184756;4;9;2041;K612HC;C666;26;549 550
Alisa Gracheva;16;6;1977;9851867200;28868380;20;2;2046;A481BY;Z383;95;551 552
Ruslan Zaitsev;12;4;1913;9255622432;2251780;23;7;2046;A387MA;Q622;82;553 554 555 556
Robert Mikhailov;25;9;2004;9038510362;67151034;5;1;2004;M022OC;Y946;23;557 558 559 560 561
Arseny Gurov;1;5;1932;4956742600;23760089;5;5;2004;H575KM;T850;7;562 563 564
Polina Mitrofanova;4;5;1990;9032044154;48267044;5;11;2027;T724CH;V955;25;565 566 567
Veronica Borodina;18;10;1984;9163434349;79303901;8;10;2028;E730BE;Q615;71;568 569 570 571 572
Daria Kuznetsova;15;9;1942;4954715998;31075753;21;6;2032;P151BH;B906;88;573 574 575
Polina Kosheleva;5;1;1978;9168942952;17994393;14;10;2037;X358BY;V808;97;576 577 578 579 580
Danis Golubev;28;7;1904;9034734688;69513292;10;5;2032;O268AB;D68;96;581 582 583 584 585
Alisa Volkova;11;9;1922;9261784383;54132763;22;11;2022;X847BX;Z752;90;586 587 588 589
Alisa Ponomareva;22;10;1911;9163306306;46453862;20;5;2011;K885AO;S536;37;590
Daria Rybakova;9;10;2003;4954364615;66441864;17;5;2023;P823TK;V737;87;591 592 593 594
